Match Number,Round Number,Date,Location,Home Team,Away Team,Result
4,1,08/10/2025,Scotiabank Arena,Toronto Maple Leafs,Montreal Canadiens,
25,1,11/10/2025,Little Caesars Arena,Detroit Red Wings,Toronto Maple Leafs,
43,1,13/10/2025,Scotiabank Arena,Toronto Maple Leafs,Detroit Red Wings,
49,1,14/10/2025,Scotiabank Arena,Toronto Maple Leafs,Nashville Predators,
61,2,16/10/2025,Scotiabank Arena,Toronto Maple Leafs,New York Rangers,
79,2,18/10/2025,Scotiabank Arena,Toronto Maple Leafs,Seattle Kraken,
98,2,21/10/2025,Scotiabank Arena,Toronto Maple Leafs,New Jersey Devils,
123,3,24/10/2025,KeyBank Center,Buffalo Sabres,Toronto Maple Leafs,
132,3,25/10/2025,Scotiabank Arena,Toronto Maple Leafs,Buffalo Sabres,
151,3,28/10/2025,Scotiabank Arena,Toronto Maple Leafs,Calgary Flames,
166,4,29/10/2025,Nationwide Arena,Columbus Blue Jackets,Toronto Maple Leafs,
188,4,01/11/2025,Xfinity Mobile Arena,Philadelphia Flyers,Toronto Maple Leafs,
199,4,04/11/2025,Scotiabank Arena,Toronto Maple Leafs,Pittsburgh Penguins,
213,5,06/11/2025,Scotiabank Arena,Toronto Maple Leafs,Utah Hockey Club,
234,5,09/11/2025,Scotiabank Arena,Toronto Maple Leafs,Boston Bruins,
246,5,10/11/2025,Scotiabank Arena,Toronto Maple Leafs,Carolina Hurricanes,
256,5,12/11/2025,TD Garden,Boston Bruins,Toronto Maple Leafs,
269,6,14/11/2025,Scotiabank Arena,Toronto Maple Leafs,Los Angeles Kings,
291,6,16/11/2025,United Center,Chicago Blackhawks,Toronto Maple Leafs,
307,6,19/11/2025,Scotiabank Arena,Toronto Maple Leafs,St. Louis Blues,
319,7,21/11/2025,Scotiabank Arena,Toronto Maple Leafs,Columbus Blue Jackets,
337,7,23/11/2025,Centre Bell,Montreal Canadiens,Toronto Maple Leafs,
369,8,27/11/2025,Nationwide Arena,Columbus Blue Jackets,Toronto Maple Leafs,
386,8,28/11/2025,Capital One Arena,Washington Capitals,Toronto Maple Leafs,
396,8,30/11/2025,PPG Paints Arena,Pittsburgh Penguins,Toronto Maple Leafs,
413,8,03/12/2025,Amerant Bank Arena,Florida Panthers,Toronto Maple Leafs,
431,9,05/12/2025,Lenovo Center,Carolina Hurricanes,Toronto Maple Leafs,
444,9,07/12/2025,Scotiabank Arena,Toronto Maple Leafs,Montreal Canadiens,
461,9,09/12/2025,bank Arena,Toronto Maple Leafs,Tampa Bay Lightning,
480,10,12/12/2025,Scotiabank Arena,Toronto Maple Leafs,San Jose Sharks,
499,10,14/12/2025,Scotiabank Arena,Toronto Maple Leafs,Edmonton Oilers,
520,10,17/12/2025,Scotiabank Arena,Toronto Maple Leafs,Chicago Blackhawks,
539,11,19/12/2025,Capital One Arena,Washington Capitals,Toronto Maple Leafs,
558,11,21/12/2025,Bridgestone Arena,Nashville Predators,Toronto Maple Leafs,
568,11,22/12/2025,American Airlines Center,Dallas Stars,Toronto Maple Leafs,
575,11,23/12/2025,Scotiabank Arena,Toronto Maple Leafs,Pittsburgh Penguins,
590,12,28/12/2025,Scotiabank Arena,Toronto Maple Leafs,Ottawa Senators,
601,12,28/12/2025,Little Caesars Arena,Detroit Red Wings,Toronto Maple Leafs,
617,12,31/12/2025,Scotiabank Arena,Toronto Maple Leafs,New Jersey Devils,
634,12,02/01/2026,Scotiabank Arena,Toronto Maple Leafs,Winnipeg Jets,
651,13,04/01/2026,UBS Arena,New York Islanders,Toronto Maple Leafs,
672,13,07/01/2026,Scotiabank Arena,Toronto Maple Leafs,Florida Panthers,
686,13,09/01/2026,Xfinity Mobile Arena,Philadelphia Flyers,Toronto Maple Leafs,
702,14,11/01/2026,Scotiabank Arena,Toronto Maple Leafs,Vancouver Canucks,
723,14,13/01/2026,Ball Arena,Colorado Avalanche,Toronto Maple Leafs,
733,14,14/01/2026,Delta Center,Utah Hockey Club,Toronto Maple Leafs,
748,14,16/01/2026,T-Mobile Arena,Vegas Golden Knights,Toronto Maple Leafs,
762,15,18/01/2026,Canada Life Centre,Winnipeg Jets,Toronto Maple Leafs,
774,15,20/01/2026,Scotiabank Arena,Toronto Maple Leafs,Minnesota Wild,
788,15,22/01/2026,Scotiabank Arena,Toronto Maple Leafs,Detroit Red Wings,
802,16,24/01/2026,Scotiabank Arena,Toronto Maple Leafs,Vegas Golden Knights,
819,16,25/01/2026,Scotiabank Arena,Toronto Maple Leafs,Colorado Avalanche,
831,16,28/01/2026,Scotiabank Arena,Toronto Maple Leafs,Buffalo Sabres,
857,16,30/01/2026,Climate Pledge Arena,Seattle Kraken,Toronto Maple Leafs,
869,17,01/02/2026,Rogers Arena,Vancouver Canucks,Toronto Maple Leafs,
885,17,03/02/2026,Scotiabank Saddledome,Calgary Flames,Toronto Maple Leafs,
891,17,04/02/2026,Rogers Place,Edmonton Oilers,Toronto Maple Leafs,
912,18,26/02/2026,Amalie Arena,Tampa Bay Lightning,Toronto Maple Leafs,
921,18,27/02/2026,Amerant Bank Arena,Florida Panthers,Toronto Maple Leafs,
939,18,01/03/2026,Scotiabank Arena,Toronto Maple Leafs,Ottawa Senators,
954,18,03/03/2026,Scotiabank Arena,Toronto Maple Leafs,Philadelphia Flyers,
971,18,05/03/2026,Prudential Center,New Jersey Devils,Toronto Maple Leafs,
975,19,06/03/2026,Madison Square Garden,New York Rangers,Toronto Maple Leafs,
994,19,08/03/2026,Scotiabank Arena,Toronto Maple Leafs,Tampa Bay Lightning,
1014,19,10/03/2026,Centre Bell,Montreal Canadiens,Toronto Maple Leafs,
1029,20,12/03/2026,Scotiabank Arena,Toronto Maple Leafs,Anaheim Ducks,
1047,20,14/03/2026,KeyBank Center,Buffalo Sabres,Toronto Maple Leafs,
1060,20,15/03/2026,Grand Casino Arena,Minnesota Wild,Toronto Maple Leafs,
1068,20,17/03/2026,Scotiabank Arena,Toronto Maple Leafs,New York Islanders,
1094,21,20/03/2026,Scotiabank Arena,Toronto Maple Leafs,Carolina Hurricanes,
1106,21,21/03/2026,Canadian Tire Centre,Ottawa Senators,Toronto Maple Leafs,
1120,21,24/03/2026,TD Garden,Boston Bruins,Toronto Maple Leafs,
1136,21,25/03/2026,Scotiabank Arena,Toronto Maple Leafs,New York Rangers,
1160,22,28/03/2026,Enterprise Center,St. Louis Blues,Toronto Maple Leafs,
1176,22,31/03/2026,Honda Center,Anaheim Ducks,Toronto Maple Leafs,
1202,23,03/04/2026,SAP Center at San Jose,San Jose Sharks,Toronto Maple Leafs,
1217,23,04/04/2026,Crypto.com Arena,Los Angeles Kings,Toronto Maple Leafs,
1245,23,08/04/2026,Scotiabank Arena,Toronto Maple Leafs,Washington Capitals,
1252,24,09/04/2026,UBS Arena,New York Islanders,Toronto Maple Leafs,
1270,24,11/04/2026,Scotiabank Arena,Toronto Maple Leafs,Florida Panthers,
1285,24,13/04/2026,Scotiabank Arena,Toronto Maple Leafs,Dallas Stars,
1304,24,15/04/2026,Canadian Tire Centre,Ottawa Senators,Toronto Maple Leafs,